STATEFP,STATE,SLDUST,GEOID,NAMELSAD,Area,Perimeter,Polsby-Popper,Schwartzberg Radius,Schwartsberg Perimeter,Schwartzberg,Convex Hull Area,Area/Convex Hull,MBC Area,Reock
4,AZ,10,4010,State Senate District 10,257490385.6,116047.4739,24.02697696,9053.275902,56883.36208,49.01732037,420533584.1,61.22944643,555106495.9,46.38576336
4,AZ,11,4011,State Senate District 11,5094174173,601847.9796,17.6729754,40268.19304,253012.3052,42.0392381,8143998976,62.55126245,18866915507,27.00056706
4,AZ,12,4012,State Senate District 12,334088956.9,110531.3817,34.36373961,10312.31825,64794.15177,58.62059332,450401464,74.17581504,1023635906,32.63747931
4,AZ,13,4013,State Senate District 13,14787500836,813708.9104,28.0650704,68607.66491,431074.308,52.97647629,21558065067,68.59382227,50075250445,29.53055792
4,AZ,14,4014,State Senate District 14,31606341881,1100108.056,32.81807025,100302.64,630219.5414,57.28705809,37297594468,84.74096609,76051523115,41.55911754
4,AZ,15,4015,State Senate District 15,382426882.1,121569.5565,32.51683336,11033.14824,69323.25637,57.02353318,529213155.3,72.2632985,980828697.8,38.99018075
4,AZ,16,4016,State Senate District 16,516282886.8,122813.1752,43.01375005,12819.44171,80546.85976,65.58486872,651301159.4,79.26945612,963367748.1,53.59146472
4,AZ,17,4017,State Senate District 17,174251666.8,65213.42431,51.48875936,7447.554972,46794.32845,71.75566832,197442592.9,88.25434482,390308146.1,44.64464001
4,AZ,18,4018,State Senate District 18,155305990.3,79378.27671,30.9737916,7031.036471,44177.26773,55.65410281,201239871.7,77.17456238,638813304.4,24.31163992
4,AZ,19,4019,State Senate District 19,279942967.7,111987.8304,28.05029271,9439.739904,59311.58497,52.96252704,426565982.6,65.62711964,763410378.1,36.67005005
4,AZ,20,4020,State Senate District 20,112709392.1,59564.54556,39.92031312,5989.703171,37634.38317,63.18252379,145084545.8,77.68531893,294758228.6,38.23791201
4,AZ,21,4021,State Senate District 21,167237644.6,63747.74562,51.71468425,7296.125038,45842.86692,71.91292252,191138676.3,87.49544981,253786519.9,65.89697697
4,AZ,22,4022,State Senate District 22,847141707.6,175863.1333,34.42040279,16421.13907,103176.9726,58.66890385,1118988767,75.70600638,1702742738,49.75159715
4,AZ,23,4023,State Senate District 23,3183093534,365899.3447,29.87690692,31830.97542,199999.7481,54.65977216,3999528603,79.58671759,7417650285,42.9124239
4,AZ,24,4024,State Senate District 24,96870024.9,70139.051,24.74452592,5552.901282,34889.87827,49.7438699,149902636.4,64.62196212,367528408.7,26.35715297
4,AZ,25,4025,State Senate District 25,197175861.6,91876.82704,29.35291707,7922.315261,49777.3328,54.17833245,287846292.8,68.50039989,609690459.7,32.34032262
4,AZ,26,4026,State Senate District 26,319351384.5,136962.1148,21.39328094,10082.30077,63348.91052,46.25287119,487066911.9,65.56622442,1167432780,27.35501265
4,AZ,27,4027,State Senate District 27,657516417.4,194607.2835,21.81714496,14467.0022,90898.77891,46.70882675,894552059.9,73.50230879,1400976872,46.93271036
4,AZ,28,4028,State Senate District 28,202619758.6,81752.381,38.09697304,8030.93561,50459.81401,61.72274543,256537922.6,78.98238069,359970564.4,56.28786869
4,AZ,29,4029,State Senate District 29,119155848.3,59084.65619,42.89191479,6158.613199,38695.67528,65.49191919,141327109.1,84.31209629,348656121.9,34.17575106
4,AZ,30,4030,State Senate District 30,82274646.1,50342.98124,40.7941285,5117.504798,32154.2038,63.87028143,112062986.9,73.41821628,244951429.1,33.58814701
6,CA,1,6001,State Senate District 1,71402623666,2000063.063,22.4303623,150758.682,947243.9358,47.36070344,1.00497E+11,71.04932203,2.23369E+11,31.96627577
6,CA,2,6002,State Senate District 2,41603149859,1697900.172,18.13474303,115076.9529,723049.2087,42.58490698,62317831429,66.75962386,2.07682E+11,20.03210706
6,CA,3,6003,State Senate District 3,8241505739,618392.0995,27.08246544,51218.69746,321816.2955,52.04081614,9760884890,84.43400196,11986169314,68.75846256
6,CA,4,6004,State Senate District 4,22383728158,944910.3648,31.50363698,84409.52541,530360.2419,56.12810078,26399862400,84.78729101,48553104416,46.10153857
6,CA,5,6005,State Senate District 5,3993912944,379071.017,34.92745409,35655.33688,224028.8996,59.09945354,4752683571,84.03490121,8535390703,46.79238576
6,CA,6,6006,State Senate District 6,731975309,174427.8119,30.23252796,15264.17944,95907.587,54.98411403,949325337.9,77.10479008,1874477657,39.04956168
6,CA,7,6007,State Senate District 7,2676261720,352431.2741,27.07629265,29187.00538,183387.2085,52.03488508,3370350782,79.40602901,5610402535,47.70177724
6,CA,8,6008,State Senate District 8,67474947226,1834393.329,25.19806118,146553.6111,920822.7179,50.19767044,78510044745,85.94434947,2.60415E+11,25.91058549
6,CA,9,6009,State Senate District 9,765275144.1,178214.4953,30.27896702,15607.52542,98064.89158,55.02632736,950006214.8,80.55475135,2207851992,34.66152382
6,CA,10,6010,State Senate District 10,866006802.8,211550.049,24.3166946,16602.97442,104319.4768,49.31196062,1135540704,76.26382744,2689781776,32.19617333
6,CA,11,6011,State Senate District 11,665991903.3,184923.3733,24.47342951,14559.94457,91482.75255,49.47062715,1836154477,36.27101704,4373367241,15.22835533
6,CA,12,6012,State Senate District 12,21607258226,1075658.34,23.46715606,82932.56125,521080.2102,48.44291079,27064523518,79.83609322,39525896560,54.66607998
6,CA,13,6013,State Senate District 13,2144716449,273827.8015,35.94382578,26128.24191,164168.447,59.95316987,2519998037,85.10786188,4691320553,45.71668945
6,CA,14,6014,State Senate District 14,11936515911,1195270.505,10.49916287,61640.19979,387296.4705,32.40241174,19004924389,62.80748961,39295346015,30.37641126
6,CA,15,6015,State Senate District 15,1337346474,300061.001,18.66527216,20632.27965,129636.3269,43.20332413,1856619242,72.03127298,2958819396,45.19865174
6,CA,16,6016,State Senate District 16,68311378021,2158359.693,18.42701118,147459.165,926512.4761,42.92669471,89652018081,76.19614091,2.15253E+11,31.73539072
6,CA,17,6017,State Senate District 17,20489752274,1331053.261,14.53300213,80759.49618,507426.4512,38.12217482,31620042267,64.79988895,1.02599E+11,19.97076106
6,CA,18,6018,State Senate District 18,290416336.9,112914.0165,28.62429692,9614.700683,60410.89504,53.50167934,370710564.4,78.34045338,606204475.2,47.90732314
6,CA,19,6019,State Senate District 19,14775481079,1045357.41,16.99110108,68579.77598,430899.0768,41.22026332,28036222170,52.70139818,45995964150,32.12342942
6,CA,20,6020,State Senate District 20,656550839.8,189813.2121,22.8994463,14456.37574,90832.01094,47.85336592,1098626918,59.76103706,1918858858,34.21569217
6,CA,21,6021,State Senate District 21,5775212058,569578.8221,22.37019482,42875.50169,269394.4947,47.29714032,7704930255,74.954761,19329101598,29.87832636
6,CA,22,6022,State Senate District 22,338386810.3,167891.9634,15.08561805,10378.43717,65209.58884,38.84020862,467044914.6,72.45273414,707640877.3,47.81900271
6,CA,23,6023,State Senate District 23,4046906953,588247.3856,14.69645892,35891.10725,225510.2872,38.33596082,6409696844,63.13725986,10175472175,39.7711957
6,CA,24,6024,State Senate District 24,158260249.8,82642.87695,29.11859992,7097.594287,44595.46247,53.96165297,206380985.7,76.68354199,324808416.1,48.72418385
6,CA,25,6025,State Senate District 25,2343204708,357040.1403,23.098599,27310.54474,171597.0685,48.06100186,2851824129,82.16511965,4392584973,53.34455048
6,CA,26,6026,State Senate District 26,2153249884,435296.2356,14.28019398,26180.17006,164494.7209,37.78914392,5159597031,41.73290804,20902767647,10.3012669
6,CA,27,6027,State Senate District 27,1814881275,240928.7551,39.28985659,24035.28947,151018.0501,62.68162138,2169849058,83.64089969,2939037849,61.75086431
6,CA,28,6028,State Senate District 28,16731345645,864115.9353,28.15764571,72977.78584,458532.5645,53.06377833,18901137074,88.52031272,61114216881,27.37717425
6,CA,29,6029,State Senate District 29,555584457.9,194547.1183,18.44633029,13298.42754,83556.41393,42.94919125,758302230.1,73.26688962,1161281860,47.84234363
6,CA,30,6030,State Senate District 30,175189992.8,86415.35861,29.48064077,7467.580182,46920.15045,54.29607792,234275429,74.77949929,392529745.1,44.63101076
6,CA,31,6031,State Senate District 31,1019027643,238578.6525,22.49739843,18010.18731,113161.2487,47.43142253,1454801727,70.04580927,2109679074,48.30249567
6,CA,32,6032,State Senate District 32,366576175.1,143011.7703,22.52320383,10802.07939,67871.40918,47.45861759,465940623.5,78.67443975,622350090.1,58.90192369
6,CA,33,6033,State Senate District 33,266788307.8,131563.3284,19.36897262,9215.282287,57901.27736,44.01019498,429916582.1,62.05583104,1163485345,22.93009611
6,CA,34,6034,State Senate District 34,387339457.9,135500.5937,26.51055633,11103.78687,69767.0916,51.4884029,523559819.7,73.98189153,710928240.1,54.48362241
6,CA,35,6035,State Senate District 35,352976502.9,132900.3899,25.1132421,10599.81157,66600.52408,50.11311415,499433050.9,70.67543934,1099845592,32.09327795
6,CA,36,6036,State Senate District 36,2081069057,318544.1129,25.77251628,25737.62643,161714.1396,50.76663893,2819818426,73.80152701,6847388315,30.39215773
6,CA,37,6037,State Senate District 37,1015636022,235620.6308,22.9890468,17980.19076,112972.775,47.94689437,1427237084,71.16098885,2264809635,44.84421148
6,CA,38,6038,State Senate District 38,7124691811,575891.2402,26.9957026,47622.07214,299218.0512,51.95738889,7932248645,89.81932022,12190453411,58.44484673
6,CA,39,6039,State Senate District 39,1022440889,308442.7504,13.50512388,18040.32477,113350.6078,36.7493182,1628807058,62.77237591,3233456174,31.62068183
6,CA,40,6040,State Senate District 40,13883421460,767084.5386,29.64964833,66477.31972,417688.9657,54.45149064,17880411796,77.64598276,50338108394,27.58034003
8,CO,1,8001,State Senate District 1,54431899293,1228579.014,45.31654594,131629.1241,827049.4798,67.31756527,62474582933,87.12647086,1.04872E+11,51.90315882
8,CO,2,8002,State Senate District 2,16123398677,919357.9657,23.97158791,71639.66452,450124.9073,48.9607883,24295698303,66.3631828,36348039665,44.35837208
8,CO,3,8003,State Senate District 3,1086828209,202964.7658,33.153478,18599.68967,116865.1981,57.57905696,1296644346,83.81852837,2060153701,52.75471476
8,CO,4,8004,State Senate District 4,1853535969,236553.9024,41.62461998,24289.90164,152617.8242,64.51714499,2084042058,88.93947039,4389999314,42.22178266
8,CO,5,8005,State Senate District 5,24851570054,1086648.341,26.44754019,88941.03168,558832.5115,51.42717199,39026070610,63.67940627,73978784491,33.59283371
